iter	Passed	Remaining
0	0	71
1	1	65
2	1	62
3	2	57
4	3	58
5	3	57
6	4	55
7	4	53
8	5	52
9	5	51
10	6	50
11	6	49
12	7	49
13	7	48
14	8	48
15	9	47
16	9	46
17	10	45
18	10	45
19	11	44
20	11	43
21	12	43
22	12	42
23	13	41
24	13	41
25	14	40
26	14	40
27	16	41
28	16	40
29	17	40
30	17	39
31	18	39
32	18	38
33	19	37
34	20	37
35	20	36
36	21	36
37	21	35
38	22	34
39	22	34
40	23	33
41	23	32
42	24	32
43	24	31
44	25	30
45	25	30
46	26	29
47	26	29
48	27	28
49	28	28
50	28	27
51	29	26
52	29	26
53	30	25
54	30	24
55	30	24
56	31	23
57	32	23
58	32	22
59	33	22
60	33	21
61	34	20
62	34	20
63	35	19
64	36	19
65	36	18
66	37	18
67	37	17
68	38	17
69	38	16
70	39	16
71	39	15
72	40	14
73	40	14
74	41	13
75	41	13
76	42	12
77	43	12
78	43	11
79	44	11
80	44	10
81	45	9
82	45	9
83	46	8
84	46	8
85	47	7
86	47	7
87	48	6
88	48	6
89	49	5
90	49	4
91	50	4
92	50	3
93	51	3
94	52	2
95	52	2
96	53	1
97	53	1
98	54	0
99	54	0
